title,slug,query_params,weight,published,exhibit_id,thumbnail_id,default_index_view_type,search_box,subtitle
Stephen Farnham Peckham Papers,Stephen-Farnham-Peckham-Papers,"{""q"":""set_spec:p16022coll235""}",70,TRUE,24,,list,TRUE,
Student Activities Bureau Papers,Student-Activities-Bureau-Papers,"{""q"":""set_spec:p16022coll619""}",71,TRUE,24,,list,TRUE,
Tracy F. Tyler Papers,Tracy-F-Tyler-Papers,"{""q"":""set_spec:p16022coll506""}",72,TRUE,24,,list,TRUE,
University of Minnesota Archives Audio Collection,University-of-Minnesota-Archives-Audio-Collection,"{""q"":""set_spec:p16022coll171""}",73,TRUE,24,,list,TRUE,
University of Minnesota Archives Photograph Collection,University-of-Minnesota-Archives-Photograph-Collection,"{""q"":""set_spec:p16022coll175""}",74,TRUE,24,,list,TRUE,
University of Minnesota Archives Scrapbook Collection,University-of-Minnesota-Archives-Scrapbook-Collection,"{""q"":""set_spec:p16022coll489""}",75,TRUE,24,,list,TRUE,
University of Minnesota Archives Video Collection,University-of-Minnesota-Archives-Video-Collection,"{""q"":""set_spec:p16022coll170""}",76,TRUE,24,,list,TRUE,
University of Minnesota Athletics Records,University-of-Minnesota-Athletics-Records,"{""q"":""set_spec:p16022coll368""}",77,TRUE,24,,list,TRUE,
University of Minnesota Gopher Yearbooks,University-of-Minnesota-Gopher-Yearbooks,"{""q"":""set_spec:p16022coll339""}",78,TRUE,24,,list,TRUE,
University Relations Records,University-Relations-Records,"{""q"":""set_spec:p16022coll512""}",79,TRUE,24,,list,TRUE,
Verna Golden Scott Papers,Verna-Golden-Scott-Papers,"{""q"":""set_spec:p16022coll367""}",80,TRUE,24,,list,TRUE,
William Skinner Cooper Papers,William-Skinner-Cooper-Papers,"{""q"":""set_spec:p16022coll236""}",81,TRUE,24,,list,TRUE,
William W. Folwell Papers,William-W-Folwell-Papers,"{""q"":""set_spec:p16022coll674""}",82,TRUE,24,,list,TRUE,
